2025-01-01|11:01:12|192.168.138.127|200|39079
2025-01-02|14:55:39|192.168.196.74|200|10505
2025-01-02|15:22:45|192.168.11.112|200|62441
2025-01-03|18:20:05|192.168.141.127|200|16578
2025-01-04|06:24:57|192.168.168.70|200|41491
2025-01-04|07:01:38|192.168.168.70|200|52915
2025-01-04|07:15:03|192.168.168.70|200|562
2025-01-04|07:28:44|192.168.168.70|200|16525
2025-01-04|07:38:37|192.168.168.70|200|35834
2025-01-04|08:06:48|192.168.168.70|200|4669
2025-01-04|08:21:11|192.168.168.70|200|31062
2025-01-04|08:26:28|192.168.168.70|200|3223
2025-01-04|08:28:52|192.168.168.70|200|53494
2025-01-04|08:41:44|192.168.168.70|200|2117
2025-01-04|09:10:44|192.168.168.70|200|35117
2025-01-04|09:31:12|192.168.168.70|200|6319
2025-01-04|09:34:31|192.168.168.70|200|4834
2025-01-04|09:40:08|192.168.168.70|200|17430
2025-01-04|09:49:49|192.168.168.70|200|6048
2025-01-04|09:51:29|192.168.168.70|200|4711
2025-01-04|09:55:06|192.168.168.70|200|42522
2025-01-04|10:19:54|192.168.168.70|200|13811
2025-01-04|10:21:36|192.168.168.70|200|49261
2025-01-04|10:24:54|192.168.168.70|200|55532
2025-01-04|10:28:01|192.168.168.70|200|14887
2025-01-04|10:32:37|192.168.168.70|200|27945
2025-01-04|10:37:09|192.168.168.70|200|12754
2025-01-04|10:46:09|192.168.168.70|200|55082
2025-01-04|10:57:35|192.168.168.70|200|14397
2025-01-04|11:10:59|192.168.168.70|200|6646
2025-01-04|11:40:26|192.168.168.70|200|268
2025-01-04|11:49:07|192.168.168.70|200|15767
2025-01-04|12:03:49|192.168.168.70|200|27131
2025-01-04|12:25:18|192.168.168.70|200|59465
2025-01-04|12:40:48|192.168.168.70|200|43117
2025-01-04|12:56:00|192.168.168.70|200|49606
2025-01-04|13:01:27|192.168.168.70|200|30845
2025-01-04|13:13:32|192.168.168.70|200|7843
2025-01-04|13:20:21|192.168.168.70|200|20278
2025-01-04|13:21:21|192.168.168.70|200|44984
2025-01-04|13:26:23|192.168.168.70|200|9716
2025-01-04|13:52:30|192.168.168.70|200|33041
2025-01-04|14:16:20|192.168.168.70|200|58512
2025-01-04|14:21:52|192.168.168.70|200|27781
2025-01-04|14:22:59|192.168.168.70|200|822
2025-01-04|14:32:42|192.168.168.70|200|54747
2025-01-04|14:51:17|192.168.168.70|200|33334
2025-01-04|15:03:58|192.168.168.70|200|46407
2025-01-04|15:07:59|192.168.168.70|200|30841
2025-01-04|15:23:39|192.168.168.70|200|29497
2025-01-04|15:49:30|192.168.168.70|200|40879
2025-01-04|16:38:52|192.168.168.70|200|4118
2025-01-04|16:44:16|192.168.168.70|200|14373
2025-01-04|17:20:00|192.168.168.70|200|20861
2025-01-04|17:24:28|192.168.168.70|200|61198
2025-01-04|17:41:06|192.168.168.70|200|47599
2025-01-04|17:49:58|192.168.168.70|200|13548
2025-01-04|18:10:55|192.168.168.70|200|53277
2025-01-04|18:19:34|192.168.168.70|200|46091
2025-01-04|18:33:36|192.168.168.70|200|36803
2025-01-04|18:45:17|192.168.168.70|200|48023
2025-01-04|18:46:12|192.168.168.70|200|28521
2025-01-04|18:58:55|192.168.168.70|200|14813
2025-01-04|19:11:17|192.168.168.70|200|10660
2025-01-04|19:15:32|192.168.168.70|200|63199
2025-01-04|19:16:24|192.168.168.70|200|7668
2025-01-04|19:36:18|192.168.168.70|200|17769
2025-01-04|19:42:03|192.168.168.70|200|26168
2025-01-04|19:56:38|192.168.168.70|200|49750
2025-01-04|20:07:55|192.168.168.70|200|58393
2025-01-04|20:09:16|192.168.168.70|200|56933
2025-01-04|20:17:40|192.168.168.70|200|63330
2025-01-04|20:21:59|192.168.168.70|200|4032
2025-01-04|20:34:04|192.168.168.70|200|37839
2025-01-05|07:31:06|192.168.11.112|200|52626
2025-01-05|11:17:20|192.168.130.154|200|60016
2025-01-05|17:19:20|8.187.20.51|200|11139
2025-01-05|20:02:56|192.168.61.227|200|49929
2025-01-06|10:19:40|192.168.190.253|200|9033
2025-01-06|12:56:51|192.168.71.62|200|1036
2025-01-06|16:25:35|192.168.0.45|200|11918
2025-01-07|15:28:52|192.168.145.77|200|4689
2025-01-07|17:21:46|192.168.222.187|200|6573
2025-01-08|11:10:06|192.168.204.135|200|63830
2025-01-08|15:37:57|192.168.132.29|200|64889
2025-01-09|19:54:45|142.5.98.253|200|42598
2025-01-11|11:07:50|192.168.50.147|200|46390
2025-01-11|16:56:32|192.168.245.234|200|32152
2025-01-12|18:39:07|192.168.177.151|200|48894
2025-01-13|20:53:18|192.168.223.168|200|31785
2025-01-14|07:39:26|192.168.41.14|200|10880
2025-01-15|13:22:09|192.168.252.95|200|44375
2025-01-16|14:17:30|192.168.171.65|200|6394
2025-01-16|17:57:53|192.168.38.56|200|14875
2025-01-16|20:58:13|192.168.133.155|200|46240
2025-01-17|06:50:47|192.168.178.173|200|47067
2025-01-18|10:14:42|192.168.121.64|200|58751
2025-01-20|07:25:00|192.168.70.98|200|4028
2025-01-20|18:34:25|192.168.0.45|200|19851
2025-01-21|06:31:21|192.168.65.4|200|11206
2025-01-21|11:42:52|192.168.252.95|200|27143
2025-01-21|20:27:07|192.168.145.77|200|25903
2025-01-22|11:09:24|192.168.230.113|200|30314
2025-01-25|06:34:02|192.168.168.70|200|38908
2025-01-25|18:25:04|192.168.152.183|200|36300
2025-01-26|18:59:43|192.168.68.213|200|17802
2025-01-27|11:15:36|192.168.196.74|200|60003
2025-01-27|14:21:22|192.168.167.76|200|12842
2025-01-27|17:57:57|192.168.125.240|200|18898
2025-01-27|18:45:17|192.168.229.19|200|60127
2025-01-27|20:34:47|192.168.98.144|200|5693
2025-01-28|19:07:30|192.168.41.64|200|20022
